,,
,,
Catalog #     ,Material Description            ,UPC#
11818,CYLINDER,095691118189
12128,"TOOLSET, T240 BULB,SPADE 5/8",095691121288
12163,"GROOVE ROLL,960 60-150MM G3448",095691121639
12168,"DRIVE SHAFT,960 30-50MM G3448",095691121684
12173,"DRIVE SHAFT,960 60-150MM G3448",095691121738
12238,12R T2 RATCHET W/O HANDLE,095691122384
12273,BLOWER WHEEL,095691122735
12283,MOTOR ASSEMBLY,095691122834
12293,CASTER,095691122933
12303,PLATE FILTER,095691123039
12313R,"SWITCH,TOGGLE",095691123138
12333,"SCREW,PN SERR TY AB 10 X 3/4",095691123336
12338R,"SCREW,PN SERR TY AB 10 X 1 1/4",095691123381
12353,"NUT,HEX FLANGE 5/16-18",095691123534
12388,FOOT CASTER,095691123886
12413,LID,095691124135
12423,HANDLE BRACKET,095691124234
12438,FOAM HOLDER ASM.,095691124388
12448,DRUM ASM.,095691124487
12453,DRUM ASM.,095691124531
12456R,"EYE, CABLE M4 PLASTIC GRIP",095691124562
12463,MOTOR ASM.,095691124630
12483,CORD ASM.,095691124838
12488,CORD ASM.,095691124883
12493,HOSE SWIVEL,095691124937
12528,"HOSE, 1 1/2"" X 7"" LOCKING",095691125286
12538,CAP,095691125385
12543,PKG OF 3 CHIPS W/ HOLDER,095691125439
12553,"DIEHEAD,COMPL 11R 1-1/2"" BSPT",095691125538
12558,"DIEHEAD,COMPL 11R 2"" BSPT",095691125583
12638,"BRUSH,2 1/2 FITTINGS PKG OF 3",095691126382
12643,"BRUSH,3"" FITTING PKG 3",095691126436
12671,700 PD 230V 1/2-2 CMPL,095691126719
12673,"MINI CABLE TERMINATION,ASM",095691126733
12678,"CABLE TERMINATION STNDRD,ASM",095691126788
12683,"BATTERY,14.4V 2.6AH",095691126832
12693,"RAPIDGRIP,ALUM 14""",095691126931
12698,"RAPIDGRIP, 18"" AL",095691126986
12753,"CABLE,C2P IC 25' NTW",095691127532
12813,"CABLE,C12P",095691128133
12833,"CABLE,C13ICSB 5/16X35'",095691128331
12838,"CABLE,C31P 3/8X50'",095691128386
12848,"CABLE,C33P 3/8X100'",095691128485
12858,"CABLE,C45P 1/2X75'",095691128584
12878,"CABLE,C24P",095691128782
12938,"CABLE,C33P IW 3/8X100'",095691129383
12958,"CABLE,C25P IC 5/8X25'",095691129581
12968,"CABLE,C27P IC 5/8X75'",095691129680
12998,"LEADER,T-468P 3/4 FLEX TRAP",095691129987
13013,960 30-50MM G3448 GROOVE SET,095691130136
13018,960 60-150MM G3448 GROOVE SET,095691130181
13028,"DIEHEAD, CMPL 11R 1/8 LH BSPT",095691130280
13043,"DIEHEAD, CMPL 11R 1/2 LH BSPT",095691130433
13048,"DIEHEAD, CMPL 11R 3/4 LH BSPT",095691130488
13053,"DIEHEAD, CMPL 11R 1"" LH BSPT",095691130532
13063,"DIEHEAD,CMPL 11R 1 1/2 BSPT LH",095691130631
13068,"DIEHEAD,CMPL 11R 2"" BSPT LH",095691130686
13088,"THREADER,11-R 1/2-2"" BSPT",095691130884
13138,"FRAME,MACHINED 122XL",095691131386
13143,"TUBE,ROLLER 3""",095691131430
13148,"CAP,END ROLLER",095691131485
13153,"KEY,1/8""X3/16""X1/2""",095691131539
13158,"GUARD,ROLLER",095691131584
13163,"ARBOR,122XL",095691131638
13168,"COVER,MOTOR",095691131683
13173,"GEAR,ROLLER",095691131737
13183,"COVER,GEAR W/SHELF",095691131836
13193,"BEARING,NEEDLE",095691131935
13198,"DECAL,GUARD WARNING",095691131980
13203,"700 PD 230V, BRAZIL",095691132031
13208,"SENSOR,PRESSURE",095691132086
13213,"SENSOR,PRESSURE",095691132130
13233,CYLINDER,095691132338
13238,"VALVE,3 WAY W/SEAL",095691132383
13248,CYLINDER,095691132482
13253,"KEYBOARD,TRANSPARENCY",095691132536
13258,"HEAD,CYLINDER",095691132581
13263R,"HEAD,CYLINDER",095691132635
13268R,"HOUSING,VALVE",095691132680
13273,MOTOR ASSEMBLY,095691132734
13278,"CARRIAGE,ROLLER",095691132789
13283R,"CAP,CYLINDER",095691132833
13288,"COVER,TRANSMISSION",095691132888
13293,PISTON,095691132932
13298,"SHELL,GUARD RING HALF",095691132987
13303,ENGINE,095691133038
13308,"SENSOR,PLATE",095691133083
13313,"SENSOR,BOLT",095691133137
13316,"SUPPORT, PIPE",095691133168
13323,"BLADDER,TANK",095691133236
13328,"ROLLER,PRESS SET OF 2",095691133281
13333,"SET,PLASTIC HOUSING",095691133335
13343,"SET,MAINTENANCE",095691133434
13346,"BRACKET, SAFETY 300 PD",095691133465
13348,"STOP ASSY,CYLINDER W/SEAL",095691133489
13366,"PIPE, 76.1X1.75MM",095691133663
13368,"BOLT,LOCKING",095691133687
13373,"COVER,TRANSMISSION",095691133731
13376,"PIPE, 83X2 MM",095691133762
13383,SWITCH,095691133830
13388,"ADMISSION, BATTERY",095691133885
13393,LUBRORING,095691133939
13398,"RING,WIPER HOUSING",095691133984
13403,"WHEEL,GEAR SET",095691134035
13413,"CABLE,POSITIVE TO ENGINE",095691134134
13418,"CABLE,NEGATIVE TO ENGINE",095691134189
13428,"O-RING,5 X 1.5",095691134288
13433,O-RING,095691134332
13438,LUBRORING,095691134387
13443,"SCREW,CYLINDER",095691134431
13448,"SENSOR,GUARD RING PRESSURE",095691134486
13458,"BAND,GRINDING",095691134585
13468,BEARING,095691134684
13473,"FILTER,SINTER BRONZE",095691134738
13478,"SCREW,FITTED",095691134783
13483,"CORD,CATCH BUNGEE",095691134837
13493,"SCREW,CYLINDER SET OF 2",095691134936
13498,O-RING,095691134981
13503,"SCREW,PT TRUSS HD SET OF4",095691135032
13513,"PIN,CYLINDRICAL",095691135131
13518,SCREW M4X18 SOCKET HEAD,095691135186
13523,"AXLE, ROLLER",095691135230
13528,PIN,095691135285
13533,O-RING 16X1.5,095691135339
13538,"BALL,STEEL",095691135384
13543,SPRING,095691135438
13573,"SCREW,CYLINDER",095691135735
13578,SPACER,095691135780
13583,DISK,095691135834
13588,"COVER, CYLINDER",095691135889
13593,O-RING,095691135933
13598,"SCREW,CYLINDER M6X8",095691135988
13603,"SPRING,COMPRESSION",095691136039
13613,"GEAR,PLASTIC 45 TEETH",095691136138
13617,"NUT, 5/8-11",095691136176
13618,"WASHER,LOCK M4",095691136183
13633,CLIP,095691136336
13638,O-RING,095691136381
13643,"SCREW,FILLISTER HEAD SET OF 2",095691136435
13658,"WASHER,BELLERILLE",095691136589
14013,"CABLE, MAXCORE",095691140135
14018,"SPRING,PUSH BUTTON,ASSEMBLY",095691140180
14078,"HEAD,PLUS COLOR CAMERA NTSC",095691140784
14083,"HEAD,PLUS COLOR CAMERA MINI",095691140838
14108,"REEL,325' COLOR SS PLUS PAL",095691141088
14113,"REEL,200 CLR MINI SS PLS PAL",095691141132
14123,"HEAD,PLUS MINI CAMERA PAL",095691141231
14128,"HEAD,PLUS COLOR CAMERA PAL",095691141286
14133,"HEAD,PLUS CLR CAMERA MINI PAL",095691141330
14141,700PD 110V 1/2-2 BSPT CMPL,095691141415
14143,"BEARING,FLG 3/4 X 7/8 X 1/2",095691141439
14208,"SHAFT,ROLLER",095691142085
14213,"BOLT CUTTER, S14",095691142139
14218,"BOLT CUTTER, S18",095691142184
14223,"BOLT CUTTER, S24",095691142238
14228,"BOLT CUTTER, S30",095691142283
14233,"BOLT CUTTER, S36",095691142337
14238,"BOLT CUTTER, S42",095691142382
14388,122-XL COPPER PREP MACH 230V,095691143884
14393,"DECAL,INDEXING HANDLE",095691143938
14663,"SANDER, OSCILLATING EDGE",095691146632
14668,"JOINTER/PLANER, 6-18""",095691146687
14823,"SPRING, SELF LEVELING",095691148230
14838,"ASSEMBLY,MON/VCR HANDLE",095691148384
14843,"ASSEMBLY,VCR DOOR",095691148438
14848,"SCREW,PKG OF 4 10-32X.625",095691148483
14878,"ASSEMBLY,KICK STAND RETAINER",095691148780
14913,"SCREW,PACK OF 4",095691149138
14918,"LEG,MON/VCR",095691149183
14923,"SCREW,PACK OF 4",095691149237
14943,"WRAP,CORD",095691149435
14948,"ASSEMBLY,CORD TIE STRAP",095691149480
14973,"ASSEMBLY,MINI COL SPRING",095691149732
14978,"ASSEMBLY,LEFT BUTTON BLOCK",095691149787
14983,"ASSEMBLY,RIGHT BUTTON BLOCK",095691149831
14988,"WRENCH,904 TORQUE",095691149886
14991,"CUTTER, 246S SOIL PIPE",095691149916
15018,"ROLL,STAINLESS DRIVE 4-6""",095691150189
15071,"EXPANDER, MOD S",095691150714
15103,"JAW, HOOK",095691151032
15108,"SPRING, TORSION #18",095691151087
15163,"HANDLE, ASSY #18",095691151636
15168,"PIN, PIVOT",095691151681
15173,"JAW, HEEL #18",095691151735
15178,"HANDLE, ASSY #14",095691151780
15183,"JAW, HOOK #10",095691151834
15188,"SPRING, TORSION #10",095691151889
15193,"HANDLE, ASSY #10",095691151933
15208,"RING, RETAINING #10",095691152084
15218,"PIN, PIVOT #10",095691152183
15233,"JAW, HEEL #10",095691152336
15243,"BOLT, SHOULDER #10",095691152435
15271,"DIES, 12R 3/4 BSPT HS PL CTD",095691152718
15281,"DIES, 12R 1"" BSPT HS PL CTD",095691152817
15317,"DIE, BUTTON 1""-12 UNF",095691153173
15323,"TRANSMITTER,STD SS FLEXLMITTR",095691153234
15348,"FEEDSCREW,ASM 117",095691153487
15353,"FRAME,CUTTER 117",095691153531
15358R,"PIN,CUTTER WHEEL ASM",095691153586
15363R,"SPRING,CUTTER 117",095691153630
15368,"HOUSING,CUTTER WHEEL 117",095691153685
15373,"BUCKET, ASM 418",095691153739
15378,"SEAL, TOP 418",095691153784
15383,"HANDLE, 418",095691153838
15388,O-RING,095691153883
15393,COUPLING,095691153937
15433,"PKG OF 2 JAW SPRINGS,PROPRESS",095691154330
15438,"SPRING,PROPRESS JAW 2""",095691154385
15682,300 PD CMPL NPT 115V 38 RPM,095691156822
15722,300 CMPL 57RPM 115V W/20A PLUG,095691157225
15808,"KIT,RETERM MINI RED CABLE",095691158086
15822,PKG OF 2 BUSHINGS,095691158222
15828,"TRANSMITTER,MINI SS FLXMITTER",095691158284
15832,"SCREW, HAND",095691158321
15838,"SNIP, #798 BULLDOG AVIATION",095691158383
15868,"WHEELS, PKG OF 2",095691158680
15938,"NUT, HEX",095691159380
15948,"CLAMP, CABLE",095691159489
16003,"SCREWS, PKG OF 6",095691160034
16018,"WASHER,SPRING WAVE",095691160188
16023,SLEEVE,095691160232
16033,PAWL,095691160331
16038,KNOB,095691160386
16202,"SNIPS, 796 RH OFFSET",095691162021
16207,"SNIPS, 797 LH OFFSET",095691162076
16286,"ARBOR, R5 (M-14 - M-30)",095691162861
16408,"ASSEMBLY,DRIVE SHAFT",095691164087
16546,COLLAR,095691165466
16556,PKG OF 5 HEX HD SCREWS,095691165565
16583,"MOTOR,230V WD 620",095691165831
16587,"KIT, GEAR THRDER ADAPT",095691165879
16588,"MOTOR,230V WD935",012078046497
16593,"SPRING,COMPRESSION",095691165930
16598,"CYLINDER, FLANGE SUB-ASSY",095691165985
16601,"WORKTABLE, 1100",095691166012
16608,"FLANGE, PUMP SUB-ASSY.",095691166081
16613,"SCREW, SOCKET HEAD CAP SET OF2",095691166135
16618,"SCREW, SOCKET HEAD CAP M5X10",095691166180
16633,PLUG,095691166333
16658,"FLANGE, CYLINDER",095691166586
16663,O-RING,095691166630
16668,"SEAL, COMPENSATION",095691166685
16671,"ARBOR, R2S",095691166715
16673,"SUPPORT, SEAL",095691166739
16678,"PUMP, FLANGE",095691166784
16688,PISTON,095691166883
16703,"VISE, 425 TRISTAND",095691167033
16713,"NOZZLE,RR3000",095691167132
16716,"MOTOR, 230V K50X",095691167163
16723,"KIT, MOUNT 141 F/535M",095691167231
16728,"TRANSMITTER, BATT SONDE 512 HZ",095691167286
16748,"PLATE, WEAR",095691167484
16763,"PLATE, SEAL",095691167637
16773,"PLATE, SEAL",095691167736
16833,"PLATE, VCR BACKPLATE",095691168337
16838,"SPACER, COLOR MONITOR",095691168382
16843,PKG OF 4 SCREWS,095691168436
16848,"SCREWS, PKG OF 4",095691168481
16853,"MODULE, DISPLAY 115V",095691168535
16946,"CONNECTOR, BULLET MALE",095691169464
16956,"CONNECTOR, BULLET FEMALE",095691169563
16958,"JAW, ASSEMBLY 1/2"" PROPRS COMP",095691169587
16963,"JAW, ASSEMBLY 3/4"" PROPRS COMP",095691169631
16978,"JAW, ASSEMBLY 1"" PROPRS COMP",095691169785
17003,"JAW, 24 PUREFLOW 3/8""",095691170033
17008,"JAW, 24 PUREFLOW 1/2""",095691170088
17013,"JAW, 24 PUREFLOW 3/4""",095691170132
17018,"JAW, 24 PUREFLOW 1""",095691170187
17128,"HANDLE, ASSEMBLY, T-TYPE 1215",095691171283
17143,BOLT,095691171436
17148,"PUMP, HEAD",095691171481
17153,"PISTON, RING UPPER",095691171535
17168,CIRCLIP,095691171689
17173,PISTON,095691171733
17178,"ROD, CONNECTING",095691171788
17183,DIPSTICK,095691171832
17188,"SCREW, CRANKCASE COVER",095691171887
17193,"PLUG, DRAIN",095691171931
17198,WASHER,095691171986
17203,"CRANKCASE, COVER",095691172037
17208,"CRANKCASE, COVER GASKET",095691172082
17213,CRANKSHAFT,095691172136
17218,BEARING,095691172181
17223,"OIL, SEAL",095691172235
17228,CRANKCASE,095691172280
17233,PIN,095691172334
17238,STATOR,095691172389
17243,"NUT, M8",095691172433
17248,PROTECTOR,095691172488
17253,"SUPPORT,CAPACITOR",095691172532
17258,CAPACITOR,095691172587
17263,FAN,095691172631
17268,CIRCLIP,095691172686
17273,"BOLT, MOTOR",095691172730
17278,"WASHER, FAN",095691172785
17283,"BOLT, FAN",095691172839
17288,"WASHER, TOOTHED",095691172884
17293,BEARING,095691172938
17298,COVER,095691172983
17303,"SCREW, COVER",095691173034
17308,"MOTOR, COVER",095691173089
17313,ROTOR,095691173133
17318,"CABLE, MOTOR",095691173188
17323R,O-RING,095691173232
17328,CYLINDER,095691173287
17333,"GASKET, CYLINDER PLATE",095691173331
17338,"VALVE, PLATE",095691173386
17343,"GASKET, HEAD",095691173430
17348,FILTER,095691173485
17353,"VALVE, RELIEF",095691173539
17358,"TEE, DISCHARGE",095691173584
17363,PIPE,095691173638
17366,SWITCH,095691173669
17368,"TUBE, OUTLET 36""",095691173683
17373,HANDLE,095691173737
17378,"VALVE, SAFETY",095691173782
17383,PLUG,095691173836
17388,"TUBE, DISHCARGE",095691173881
17393,COUPLING,095691173935
17398,"SWITCH, PRESSURE",095691173980
17403,SCREW,095691174031
17408,"CORD, W/PLUG",095691174086
17413,ELBOW,095691174130
17418,"VALVE, NON-RETURN",095691174185
17423,"TANK, AIR",095691174239
17428,"TAP, DRAIN",095691174284
17433,WASHER,095691174338
17438,PAD,095691174383
17443,WASHER,095691174437
17448,SCREW,095691174482
17452,"LINECORD, 230V",095691174529
17453R,ELBOW,095691174536
17458,"TEE, MANIFOLD",095691174581
17463,"PLUG, 1/8""",095691174635
17468,REGULATOR,095691174680
17473,"GAUGE, MANIFOLD",095691174734
17478,NUT,095691174789
17488,"KNOB, PRESSURE REDUCER",095691174888
17493,REDUCER,095691174932
17498,COUPLING,095691174987
17503,BOLT,095691175038
17507,"PUNCH, 17507 1"" KNOCKOUT",095691175076
17508,"PUMP, COMPLETE",095691175083
17512,"PUNCH, 17512 1-1/4 KNOCKOUT",095691175120
17513,SCREW,095691175137
17517,"PUNCH, 17517 1-1/2 KNOCKOUT",095691175175
17518,"PANEL, CONTROL",095691175182
17523,"PAD, ANTIVIBRATION",095691175236
17527,"PUNCH, 17527 2-1/2 KNOCKOUT",095691175274
17528,NUT,095691175281
17532,"PUNCH, 17532 3"" KNOCKOUT",095691175328
17533,"EXTENSION, RR3000",095691175335
17537,"PUNCH, 17537 3-1/2 KNOCKOUT",095691175373
17538,"KIT, ROOT RANGER REPAIR",095691175380
17542,"PUNCH, 17542 4"" KNOCKOUT",095691175427
17553,"WRENCH, SPANNER SS 25",095691175533
17558,"WRENCH, SPANNER SS 30",095691175588
17562,"DIE, 17562 1-1/4 KNOCKOUT",095691175625
17563,"WRENCH, SPANNER SS 35",095691175632
17567,"DIE, 17567 1-1/2 KNOCKOUT",095691175670
17572,"DIE, 17572 2"" KNOCKOUT",095691175724
17577,"DIE, 17577 2-1/2 KNOCKOUT",095691175779
17582,"DIE, 17582 3"" KNOCKOUT",095691175823
17587,"DIE, 17587 3-1/2 KNOCKOUT",095691175878
17592,"DIE, 17592 4"" KNOCKOUT",095691175922
17637,"SPACER, MEDIUM",095691176370
17642,"SPACER, SHORT",095691176424
17713,"BOLT, SHOULDER",095691177131
17738,NUT,095691177384
17753,"SCREW, STRAIN RELIEF",095691177537
17758,"RELIEF, STRAIN",095691177582
17783,"SCREW, 1/4-20 X 1/2""",095691177834
17808,HANDGRIP,095691178084
17888,PLUG,095691178886
17893,"FITTING, ELBOW",095691178930
17918,"PLUG, RUBBER",095691179180
17948,HEAD,095691179487
17953,"KIT, HEAD BOLT",095691179531
17996,SPINDLE,095691179968
17998,"SCREW, SET",095691179982
18023,"TUBE, 3/8"" NYLONG",095691180230
18068,PUMP,095691180681
18073,"TUBE, DISCHARGE",095691180735
18078,"PULLEY, FLYWHEEL",095691180780
18098,"ASSEMBLY, BRACE",095691180988
18113,WASHER,095691181138
18118,"NUT, LOCK",095691181183
18138,"PLUG, DRAIN",095691181381
18148,"BEARING, BALL",095691181480
18158,"ROD, CONNECTING",095691181589
18163,"PIN, PISTON",095691181633
18168,PISTON,095691181688
18173,"CAP, BEARING",095691181732
18193,"HEAD, CYLINDER W/BOLTS",095691181930
18203,"KIT, PISTON RING",095691182036
18208,"KIT, PISTON SERVICE",095691182081
18213,"HANDGRIP, R14",095691182135
18218,"HANDGRIP, R18",095691182180
18223,"HANDGRIP, R24",095691182234
18228,HANDGRIP,095691182289
18233,HANDGRIP,095691182333
18238,HANDGRIP,095691182388
18243,"HANDLE, S14 MALE",095691182432
18248,"HANDLE, S18 MALE",095691182487
18253,"HANDLE, S24 MALE",095691182531
18258,"HANDLE, S30 MALE",095691182586
18263,"HANDLE, S36 MALE",095691182630
18268,"HANDLE, S42 MALE",095691182685
18273,"HANDLE, S14 FEMALE",095691182739
18278,"HANDLE, S18 FEMALE",095691182784
18283,"HANDLE, S24 FEMALE",095691182838
18288,"HANDLE, S30 FEMALE",095691182883
18293,"HANDLE, S36 FEMALE",095691182937
18298,"HANDLE, S42 FEMALE",095691182982
18303,"BOLT, W/NUT S14",095691183033
18308,"BOLT, W/NUT S18",095691183088
18313,"BOLT, W/NUT S24",095691183132
18318,"BOLT, W/NUT S30",095691183187
18323,"BOLT, W/NUT S36",095691183231
18328,"BOLT, W/NUT S42",095691183286
18333,"BOLT, ADJ. W/NUT & CAM S14",095691183330
18338,"BOLT, ADJ. W/NUT & CAM S18",095691183385
18343,"BOLT, ADJ. W/NUT & CAM S24",095691183439
18348,"BOLT, ADJ. W/NUT & CAM S30",095691183484
18353,"BOLT, ADJ. W/NUT & CAM S36",095691183538
18358,"BOLT, ADJ. W/NUT & CAM S42",095691183583
18363,"HEAD, ASSEMBLY S14",095691183637
18368,"HEAD, ASSEMBLY S18",095691183682
18373,"HEAD, ASSEMBLY S24",095691183736
18378,"HEAD, ASSEMBLY S30",095691183781
18383,"HEAD, ASSEMBLY S36",095691183835
18388,"HEAD, ASSEMBLY S42",095691183880
18391,"1142 1 1/2"" GRIP WRENCH",095691183910
18393,PLATE,095691183934
18398,PLATE,095691183989
18403,"PLATE, S24",095691184030
18406,SUPPRESSOR,095691184061
18408,"PLATE, S30",095691184085
18413,"PLATE, S36",095691184139
18418,"PLATE, S42",095691184184
18428,"ASSEMBLY, BATT COV HLDR",095691184283
18433,"HOLDER, BATTERY",095691184337
18436,CONNECTOR,095691184368
18443,"CLIP, CABLE",095691184436
18466,"SLEEVE, WIRING",095691184665
18486,"PKG OF 2 SCREWS 3-1/2"" LONG",095691184863
18506,"SLEEVE, MOTOR HOUSING 700",095691185068
18566,"SLEEVE, INSULATING",095691185662
18626,"SLEEVE, CABLE",095691186263
18633,"DISPLAY, W/12"" ADJ. WRENCH",095691186331
18643,"HOSE, O-RING, W/PORT",095691186430
18648,"HOSE, O-RING",095691186485
18653,"HEAD, EVAPORATOR W/O-RING",095691186539
18663,"CHARGER, BP 12 120V",095691186638
18666,LINECORD,095691186669
18676,"HOUSING, ASM FIELD",095691186768
18713,"KIT, EXHAUST TUBE",095691187130
18733,"KIT, COMPACT RETERM RED CABLE",095691187338
18758,"CABLE, PUSH",095691187581
18763,"SHELL, COMPACT SPRING",095691187635
18778,"CAP, COMPACT O-RING",095691187789
18783,"NUT, COMPACT PUSH",095691187833
18788,"PLUG, COMPACT TERMINATION",095691187888
18793,"WASHER, CRESCENT SHAPED SPRING",095691187932
18798,O-RING,095691187987
18803,SCREW,095691188038
18808,"RING, BACK UP",095691188083
18813,"SCREW, SEAL",095691188137
18818,"ASSEMBLY, CORD",095691188182
18823,"CABLE, COMPACT SAFETY",095691188236
18833,"ASSEMBLY, COMPACT WHIP",095691188335
18843,ADAPTER,095691188434
18848,"SHELL, COMPACT INNER CLAM",095691188489
18853,SEAL,095691188533
18863,"TUBE, 1/8 SHRINK",095691188632
18867,"SHOE, W/BRACKET",095691188670
18868,O-RING,095691188687
18872,SCREW,095691188724
18878,"LABEL, TOP",095691188786
18883,O-RING,095691188830
18888,"BAND, INDEX",095691188885
18893,"CABLE, 1 FT",095691188939
18903,O-RING,095691189035
18908,"CONNECTOR, MALE BULLET",095691189080
18913,"CONNECTOR,PKG OF 4",095691189134
18918,GROMMET,095691189189
18933,"GAUGE, CRIMP FIXTURE",095691189332
18938,"TOOL, PUSH NUT TIGHTENING",095691189387
18943,"KIT, COMPACT RE-TERM TOOL",095691189431
18948,"NIPPLE, GREASE FILL",095691189486
18951,"DIES, 1/2-3/4 BSPT",095691189516
18953,"FIXTURE, CRIMP",095691189530
18958,"FIXTURE,FIBERGLASS ROD CUTTING",095691189585
18961,"DIES, 1-2 BSPT",095691189615
18968,"HANDLE, RAPIDGRIP AL 14",095691189684
18971,"DIES, 1/2-3/4 BSPT HS",095691189714
18973,"HANDLE, RAPIDGRIP AL 18",095691189738
18978,"NUT, LOCK 5/16-18",095691189783
18981,"DIES, 1-2 BSPT HS",095691189813
